DIA_TRANSPORTE,"NOMBRE_EMPRESA","LINEA","AMBA","TIPO_TRANSPORTE","JURISDICCION","PROVINCIA","MUNICIPIO",CANTIDAD,"DATO_PRELIMINAR"
2026-01-01,"MUNICIPALIDAD DE MERCEDES PROVINCIA DE BUENOS AIRES","1","SI","COLECTIVO","MUNICIPAL","BUENOS AIRES","MERCEDES",138,"NO"
2026-01-01,"MUNICIPALIDAD DE MERCEDES PROVINCIA DE BUENOS AIRES","2B","SI","COLECTIVO","MUNICIPAL","BUENOS AIRES","MERCEDES",69,"NO"
2026-01-01,"EMPRESA BATAN S.A.","BS_AS_LINEA 715M","NO","COLECTIVO","MUNICIPAL","BUENOS AIRES","GENERAL PUEYRREDON",1572,"NO"
2026-01-01,"EMPRESA BATAN S.A.","BS_AS_LINEA 720M","NO","COLECTIVO","MUNICIPAL","BUENOS AIRES","GENERAL PUEYRREDON",475,"NO"
2026-01-01,"COMPAÑIA  DE TRANSPORTE VECINAL S.A.","BS_AS_LINEA_326","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",97,"NO"
2026-01-01,"EMPRESA DE TRANSPORTE PERALTA RAMOS SACI","BS_AS_LINEA_512","NO","COLECTIVO","MUNICIPAL","BUENOS AIRES","GENERAL PUEYRREDON",995,"NO"
2026-01-01,"EL URBANO SRL","BS_AS_LINEA_527","SI","COLECTIVO","MUNICIPAL","BUENOS AIRES","LANUS",218,"NO"
2026-01-01,"TRANSPORTES LINEA 123 S.A.C.I.","BS_ASLINEA_123","SI","COLECTIVO","NACIONAL","JN","SD",1356,"NO"
2026-01-01,"COMPAÑIA ISLEÑA S.R.L.","BSAS_LINEA302","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",1279,"NO"
2026-01-01,"COMPAÑIA ISLEÑA S.R.L.","BSAS_LINEA303","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",3071,"NO"
2026-01-01,"TRANPORTES VEINTIDOS DE SETIEMBRE S.A.C.","BSAS_LINEA_002","SI","COLECTIVO","NACIONAL","JN","SD",6147,"NO"
2026-01-01,"GENERAL TOMAS GUIDO S.A.C.I.F.","BSAS_LINEA_009","SI","COLECTIVO","NACIONAL","JN","SD",3586,"NO"
2026-01-01,"LINEA 10 S.A.","BSAS_LINEA_010","SI","COLECTIVO","NACIONAL","JN","SD",5838,"NO"
2026-01-01,"TRANSPORTES SUR-NOR C.I.S.A.","BSAS_LINEA_015","SI","COLECTIVO","NACIONAL","JN","SD",6647,"NO"
2026-01-01,"LINEA 17 S.A.","BSAS_LINEA_017","SI","COLECTIVO","NACIONAL","JN","SD",7672,"NO"
2026-01-01,"MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.","BSAS_LINEA_019","SI","COLECTIVO","NACIONAL","JN","SD",2308,"NO"
2026-01-01,"TRANSPORTE LARRAZABAL C.I.S.A.","BSAS_LINEA_020","SI","COLECTIVO","NACIONAL","JN","SD",2465,"NO"
2026-01-01,"EMPRESA DE TRANSP. TTE. GRAL. ROCA S.A","BSAS_LINEA_021","SI","COLECTIVO","NACIONAL","JN","SD",10263,"NO"
2026-01-01,"LINEA 22 S.A.","BSAS_LINEA_022","SI","COLECTIVO","NACIONAL","JN","SD",2692,"NO"
2026-01-01,"EMP.TRANSP.AUTOM.DE PASAJEROS S.A.C.I.F.","BSAS_LINEA_024","SI","COLECTIVO","NACIONAL","JN","SD",5991,"NO"
2026-01-01,"EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A.","BSAS_LINEA_029","SI","COLECTIVO","NACIONAL","JN","SD",5048,"NO"
2026-01-01,"EL PUENTE S.A.T.","BSAS_LINEA_032","SI","COLECTIVO","NACIONAL","JN","SD",1681,"NO"
2026-01-01,"4 DE SEPTIEMBRE S.A.T.C.P.","BSAS_LINEA_037","SI","COLECTIVO","NACIONAL","JN","SD",9239,"NO"
2026-01-01,"AZUL S.A. DE TRANSPORTE AUTOMOTOR","BSAS_LINEA_041","SI","COLECTIVO","NACIONAL","JN","SD",6548,"NO"
2026-01-01,"MICROOMNIBUS CUARENTA Y CINCO S.A.C.I.F.","BSAS_LINEA_045","SI","COLECTIVO","NACIONAL","JN","SD",7274,"NO"
2026-01-01,"UNION TRANSPORTISTAS DE EMPRESAS SA","BSAS_LINEA_046","SI","COLECTIVO","NACIONAL","JN","SD",4100,"NO"
2026-01-01,"BUENOS AIRES BUS SOCIEDAD ANONIMA","BSAS_LINEA_049","SI","COLECTIVO","NACIONAL","JN","SD",946,"NO"
2026-01-01,"SAN VICENTE S.A. DE TRANSPORTES","BSAS_LINEA_051","SI","COLECTIVO","NACIONAL","JN","SD",2981,"NO"
2026-01-01,"LINEA 213 S.A. DE TRANSPORTE","BSAS_LINEA_053","SI","COLECTIVO","NACIONAL","JN","SD",7369,"NO"
2026-01-01,"ALMAFUERTE S.A.T.A.C.I.","BSAS_LINEA_055","SI","COLECTIVO","NACIONAL","JN","SD",4095,"NO"
2026-01-01,"TRANSPORTES LOPE DE VEGA S.A.C.I.","BSAS_LINEA_056","SI","COLECTIVO","NACIONAL","JN","SD",1446,"NO"
2026-01-01,"TRANSPORTES ATLANTIDA S.A.C.","BSAS_LINEA_057","SI","COLECTIVO","NACIONAL","JN","SD",7931,"NO"
2026-01-01,"MICROOMNIBUS CIUDAD DE BS.AS. S.A.T.C.I","BSAS_LINEA_059","SI","COLECTIVO","NACIONAL","JN","SD",11247,"NO"
2026-01-01,"MICRO OMNIBUS NORTE S.A.","BSAS_LINEA_060","SI","COLECTIVO","NACIONAL","JN","SD",16026,"NO"
2026-01-01,"BERNARDINO RIVADAVIA S.A.T.A.","BSAS_LINEA_063","SI","COLECTIVO","NACIONAL","JN","SD",3474,"NO"
2026-01-01,"TRANSPORTES DEL TEJAR S.A.","BSAS_LINEA_067","SI","COLECTIVO","NACIONAL","JN","SD",6019,"NO"
2026-01-01,"TRANSPORTES 270 S.A.","BSAS_LINEA_070","SI","COLECTIVO","NACIONAL","JN","SD",4488,"NO"
2026-01-01,"LINEA 71 S.A.","BSAS_LINEA_071","SI","COLECTIVO","NACIONAL","JN","SD",6618,"NO"
2026-01-01,"SAN VICENTE S.A. DE TRANSPORTES","BSAS_LINEA_074","SI","COLECTIVO","NACIONAL","JN","SD",754,"NO"
2026-01-01,"LOS CONSTITUYENTES S.A.T.","BSAS_LINEA_078","SI","COLECTIVO","NACIONAL","JN","SD",4134,"NO"
2026-01-01,"SAN VICENTE S.A. DE TRANSPORTES","BSAS_LINEA_079","SI","COLECTIVO","NACIONAL","JN","SD",4102,"NO"
2026-01-01,"TRANSPORTES NUEVA CHICAGO C.I.S.A.","BSAS_LINEA_080","SI","COLECTIVO","NACIONAL","JN","SD",5024,"NO"
2026-01-01,"SOCIEDAD ANONIMA EXPRESO SUDOESTE","BSAS_LINEA_085","SI","COLECTIVO","NACIONAL","JN","SD",9545,"NO"
2026-01-01,"D.U.V.I. SOCIEDAD ANONIMA","BSAS_LINEA_086","SI","COLECTIVO","NACIONAL","JN","SD",107,"NO"
2026-01-01,"LOS CONSTITUYENTES S.A.T.","BSAS_LINEA_087","SI","COLECTIVO","NACIONAL","JN","SD",2519,"NO"
2026-01-01,"LINEA EXPRESO LINIERS S.A.I.Y C.","BSAS_LINEA_088","SI","COLECTIVO","NACIONAL","JN","SD",2856,"NO"
2026-01-01,"TRANSPORTES LOPE DE VEGA S.A.C.I.","BSAS_LINEA_091","SI","COLECTIVO","NACIONAL","JN","SD",3096,"NO"
2026-01-01,"EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L.","BSAS_LINEA_092","SI","COLECTIVO","NACIONAL","JN","SD",8883,"NO"
2026-01-01,"TRANSPORTES 1º SEPTIEMBRE S.A.","BSAS_LINEA_093","SI","COLECTIVO","NACIONAL","JN","SD",1287,"NO"
2026-01-01,"EMPRESA ANTARTIDA ARGENTINA S.A.T.","BSAS_LINEA_095","SI","COLECTIVO","NACIONAL","JN","SD",2416,"NO"
2026-01-01,"TRANSPORTE IDEAL SAN JUSTO S.A.","BSAS_LINEA_096","SI","COLECTIVO","NACIONAL","JN","SD",3163,"NO"
2026-01-01,"BUS DEL OESTE S.A.","BSAS_LINEA_097","SI","COLECTIVO","NACIONAL","JN","SD",608,"NO"
2026-01-01,"EXPRESO QUILMES S.A.","BSAS_LINEA_098","SI","COLECTIVO","NACIONAL","JN","SD",10831,"NO"
